Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.01.2020;27.99;31.26;32.19;27.91;4.93M;-9.59%
01.12.2019;30.96;30.07;31.43;29.62;5.48M;3.03%
01.11.2019;30.05;30.37;31.59;30.05;4.36M;-0.79%
01.10.2019;30.29;30.7;31.55;29.17;6.70M;-0.66%
01.09.2019;30.49;29.75;32.03;29.63;5.57M;0.96%
01.08.2019;30.2;30.97;31.28;28.54;5.53M;-3.55%
01.07.2019;31.31;33.33;33.52;31.06;3.37M;-5.21%
01.06.2019;33.03;31.01;33.26;30.77;4.07M;10.21%
01.05.2019;29.97;34.04;34.09;29.94;4.13M;-11.67%
01.04.2019;33.93;35.39;36.06;33.56;3.60M;-3.72%
01.03.2019;35.24;34.41;36.34;33.54;3.35M;2,00%
01.02.2019;34.55;33.88;34.85;32.74;2.85M;1.98%
01.01.2019;33.88;30.92;34.13;30.81;4.98M;7.56%
01.12.2018;31.5;33.04;33.33;29.75;7.02M;-2.33%
01.11.2018;32.25;35.35;36.07;31.72;3.46M;-8.74%
01.10.2018;35.34;37.95;38.17;33.17;7.97M;-6.16%
01.09.2018;37.66;37.43;39.16;36.14;2.42M;1.37%
01.08.2018;37.15;38.22;38.54;35.42;3.29M;-3.91%
01.07.2018;38.66;36.87;38.95;36.53;3.88M;4.15%
01.06.2018;37.12;36.73;37.37;35.03;4.75M;1.81%
01.05.2018;36.46;39.03;40.15;34.58;8.16M;-6.92%
01.04.2018;39.17;35.21;39.57;34.5;4.64M;10.87%
01.03.2018;35.33;33.06;35.45;32.65;4.72M;6.51%
01.02.2018;33.17;36.39;36.85;32.25;4.82M;-8.42%
01.01.2018;36.22;33.19;37.48;33.16;4.82M;9.13%
01.12.2017;33.19;32.93;33.57;32.13;3.84M;0.67%
01.11.2017;32.97;33.01;34.2;32.26;5.13M;0.98%
01.10.2017;32.65;32.76;33.18;31.58;4.00M;-1.27%
01.09.2017;33.07;31.64;33.5;31.51;5.84M;5.05%
01.08.2017;31.48;31.94;32.25;30.13;3.91M;-0.32%
01.07.2017;31.58;30.29;31.79;29.44;4.43M;5.06%
01.06.2017;30.06;31.76;32.13;29.91;6.12M;-5.65%
01.05.2017;31.86;31.14;34.62;30.92;6.93M;2.84%
01.04.2017;30.98;32.7;33.32;30.41;7.09M;-5.35%
01.03.2017;32.73;31.56;32.85;30.5;6.85M;5.79%
01.02.2017;30.94;30.91;31.41;29.63;6.86M;0.1%
01.01.2017;30.91;32.81;33.4;30.59;8.89M;-4.13%
01.12.2016;32.24;28.57;32.63;28.44;7.81M;15.51%
01.11.2016;27.91;29;29.03;26.15;17.26M;-4.02%
01.10.2016;29.08;28.89;31.31;28.76;8.42M;0.73%
01.09.2016;28.87;30.05;31.62;27.35;8.27M;-4.18%
01.08.2016;30.13;30.53;31.44;29.26;5.61M;-1.7%
01.07.2016;30.65;32.6;33.26;30.13;8.98M;-5.26%
01.06.2016;32.35;30.24;33.38;28.88;17.58M;6.24%
01.05.2016;30.45;32.21;32.26;28.93;8.98M;-7.08%
01.04.2016;32.77;29.22;33;27.94;11.51M;8.44%
01.03.2016;30.22;28.93;31.34;28.61;7.41M;8.32%
01.02.2016;27.9;28.58;28.99;24.73;7.75M;-3.63%
01.01.2016;28.95;29.39;29.56;26.22;6.82M;-2.85%
01.12.2015;29.8;32.5;32.78;29.01;7.37M;-7.71%
01.11.2015;32.29;32.65;33.3;30.45;6.50M;-0.95%
01.10.2015;32.6;32.24;36.02;31.25;5.60M;3.92%
01.09.2015;31.37;32.69;34.54;30.27;6.29M;-5.77%
01.08.2015;33.29;34.9;35.87;30.03;5.95M;-4.89%
01.07.2015;35;35.92;35.92;32.09;8.33M;-1.63%
01.06.2015;35.58;35.83;38.31;34.83;16.49M;-1.03%
01.05.2015;35.95;38.53;39.33;35.64;4.64M;-6.45%
01.04.2015;38.43;34.89;38.66;34.6;9.01M;11.04%
01.03.2015;34.61;37.2;37.22;32;8.49M;-7.14%
01.02.2015;37.27;34.36;37.8;33.96;6.82M;9.94%
