Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.01.2025;13405.1;13127.1;14175.8;13127.1;;2,12%
01.12.2024;13127.1;14184.7;14192.5;12632.5;;-7,46%
01.11.2024;14184.7;13535.2;14540.4;13.422,00;;4,80%
01.10.2024;13535.2;13544.5;14442.2;13442.6;;-0,07%
01.09.2024;13544.5;14092.6;14092.6;12889.4;;-3,89%
01.08.2024;14092.6;14279.7;14338.3;13149.2;;-1,31%
01.07.2024;14279.7;14073.6;14485.1;13806.2;;1,46%
01.06.2024;14073.6;14471.1;14471.1;13481.1;;-2,75%
01.05.2024;14471.1;14395.2;14771.4;14067.8;;0,53%
01.04.2024;14395.2;14361.8;15093.3;14278.2;;0,23%
01.03.2024;14361.8;13259.8;14384.5;13259.8;;8,31%
01.02.2024;13259.8;13132.8;13422.4;12880.4;;0,97%
01.01.2024;13132.8;13259.5;13687.5;12539.1;;-0,96%
01.12.2023;13259.5;13.251,00;13584.7;12636.1;;0,06%
01.11.2023;13251;13275.3;13712.9;12848.5;;-0,18%
01.10.2023;13275.3;13852.1;14215.2;12956.6;;-4,16%
01.09.2023;13852.1;13467.9;14162.9;13467.9;;2,85%
01.08.2023;13467.9;13328.6;13609.8;12911.3;;1,04%
01.07.2023;13328.6;12504.8;13346.9;12075.8;;6,59%
01.06.2023;12504.8;11635.8;12570.2;11635.8;;7,47%
01.05.2023;11635.8;12895.3;12900.7;11608.4;;-9,77%
01.04.2023;12895.3;12455.6;13284.8;12455.6;;3,53%
01.03.2023;12455.6;12724.6;13234.8;11309.5;;-2,11%
01.02.2023;12724.6;13434.6;13648.9;12561.7;;-5,29%
01.01.2023;13434.6;13051.9;13783.3;12395.2;;2,93%
01.12.2022;13051.9;13551.1;13659.4;12326.7;;-3,68%
01.11.2022;13551.1;13240.7;13828.8;12.839,00;;2,34%
01.10.2022;13240.7;11004.6;13389.9;11004.6;;20,32%
01.09.2022;11004.6;12304.1;12607.8;10534.2;;-10,56%
01.08.2022;12304.1;12171.4;13078.8;11185.8;;1,09%
01.07.2022;12171.4;11252.3;12198.4;10157.4;;8,17%
01.06.2022;11252.3;13336.3;14143.3;10798.9;;-15,63%
01.05.2022;13336.3;11791.3;13769.4;11619.4;;13,10%
01.04.2022;11791.3;12065.2;12834.4;11263.8;;-2,27%
01.03.2022;12065.2;11142.1;12395.1;10920.3;;8,28%
01.02.2022;11142.1;10648.5;11310.2;10496.4;;4,64%
01.01.2022;10648.5;9146.2;10834.7;9146.2;;16,43%
01.12.2021;9146.2;8.829,00;9394.7;8574.6;;3,59%
01.11.2021;8829;9460.5;9684.5;8.772,00;;-6,67%
01.10.2021;9460.4;8784.8;9816.6;8784.8;;7,69%
01.09.2021;8784.8;8052.8;8999.3;7879.5;;9,09%
01.08.2021;8052.8;8163.1;8358.5;7517.8;;-1,35%
01.07.2021;8163.1;8787.3;8996.3;7679.2;;-7,10%
01.06.2021;8787.3;8440.2;9172.5;8440.2;;4,11%
01.05.2021;8440.2;8005.8;8845.7;8005.8;;5,43%
01.04.2021;8005.8;7.996,00;8294.1;7636.9;;0,12%
01.03.2021;7996;7774.6;8674.2;7.748,00;;2,85%
01.02.2021;7774.6;6733.8;8.215,00;6679.2;;15,46%
01.01.2021;6733.8;6502.8;7592.3;6474.4;;3,55%
01.12.2020;6502.8;6232.8;7.020,00;6232.8;;4,33%
01.11.2020;6232.8;4912.5;6786.7;4912.5;;26,88%
01.10.2020;4912.5;5161.8;5459.2;4673.2;;-4,83%
01.09.2020;5161.8;5983.1;6.054,00;5134.1;;-14,17%
01.08.2020;6014.3;6025.6;6582.6;5982.8;;-0,17%
01.07.2020;6024.8;6246.3;6452.3;5883.7;;-3,48%
01.06.2020;6242.1;6249.6;7513.4;6053.6;;-0,32%
01.05.2020;6262.3;6.011,00;6450.6;5559.9;;1,16%
01.04.2020;6190.6;5226.5;6453.6;5.107,00;;16,38%
01.03.2020;5319.4;7837.8;8092.8;3.857,00;;-31,54%
01.02.2020;7770.4;8974.3;9265.5;7411.9;;-13,73%
