Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.01.2020;52.15;59.46;61.17;51.83;80.41M;-11.58%
01.12.2019;58.98;57.63;59.53;56.03;56.86M;2.59%
01.11.2019;57.49;58.22;60.51;57.28;60.78M;-0.83%
01.10.2019;57.97;58.67;60.19;56.13;58.45M;-1.5%
01.09.2019;58.85;54.71;59.32;54.56;59.81M;5.85%
01.08.2019;55.6;59.56;60;54.78;73.06M;-11.59%
01.07.2019;62.89;66.36;66.36;62.44;43.12M;-3.35%
01.06.2019;65.07;62.37;66.48;61.81;44.52M;5.27%
01.05.2019;61.81;63.5;64.92;61.67;57.05M;-2.71%
01.04.2019;63.53;63.42;65.41;62.59;48.91M;1.5%
01.03.2019;62.59;62.23;64.74;60.3;55.98M;0.61%
01.02.2019;62.21;62.26;63.98;61.97;51.52M;0.78%
01.01.2019;61.73;57.87;62.34;57.72;65.80M;5.94%
01.12.2018;58.27;61.93;62.12;55.04;83.98M;-3.53%
01.11.2018;60.4;63.53;64.56;58.55;74.77M;-4.42%
01.10.2018;63.19;68.94;69.6;60.53;104.03M;-7.26%
01.09.2018;68.14;65.47;70.09;62.46;60.44M;4.46%
01.08.2018;65.23;67.78;67.8;61.61;65.56M;-4.59%
01.07.2018;68.37;68.38;71.85;67.26;58.18M;-1.24%
01.06.2018;69.23;69.86;70.71;66.36;83.01M;-0.5%
01.05.2018;69.58;69.73;73.86;67.11;80.11M;-0.46%
01.04.2018;69.9;63.72;71.69;62.33;79.70M;9.54%
01.03.2018;63.81;63.15;65.13;61.3;77.78M;0.85%
01.02.2018;63.27;68.9;69.69;61.01;86.55M;-9.92%
01.01.2018;70.24;67;72.43;66.91;55.90M;5.29%
01.12.2017;66.71;63.85;66.92;63.1;61.75M;4.04%
01.11.2017;64.12;62.92;65.83;61.46;102.96M;1.73%
01.10.2017;63.03;60.19;63.28;60.05;84.44M;4.04%
01.09.2017;60.58;55.11;60.66;54.95;76.32M;9.79%
01.08.2017;55.18;56.61;57.75;54.27;67.55M;-2.39%
01.07.2017;56.53;53.41;56.84;52.44;61.44M;6.28%
01.06.2017;53.19;54.24;54.68;51.91;65.08M;-2.24%
01.05.2017;54.41;52.28;56.26;51.85;77.61M;4.25%
01.04.2017;52.19;52.6;53.76;51.08;67.87M;-1.02%
01.03.2017;52.73;52.14;53.33;50.32;69.81M;1.62%
01.02.2017;51.89;54.5;55.22;51.54;75.93M;-4.6%
01.01.2017;54.39;55.24;56.39;53.55;65.47M;0.02%
01.12.2016;54.38;52.06;54.98;51.44;77.20M;6.42%
01.11.2016;51.1;51.71;52.2;48.07;99.96M;2.59%
01.10.2016;49.81;50.41;52.42;49.34;72.85M;-0.52%
01.09.2016;50.07;48.67;51.32;46.57;107.88M;2.39%
01.08.2016;48.9;50.62;51.36;48.72;102.89M;-5.58%
01.07.2016;51.79;55.22;56.29;51.02;107.42M;-6.21%
01.06.2016;55.22;48.15;55.22;47.98;121.03M;13.88%
01.05.2016;48.49;52.96;53.01;48.35;94.96M;-8.32%
01.04.2016;52.89;46.93;53.74;46.42;109.57M;9.16%
01.03.2016;48.45;46.02;50.32;45.58;108.73M;6.53%
01.02.2016;45.48;43.02;46.5;41.05;122.90M;3.53%
01.01.2016;43.93;45.41;45.92;35.8;154.41M;-4.06%
01.12.2015;45.79;49.96;50.73;43.26;101.62M;-7.98%
01.11.2015;49.76;52.44;55.22;47.79;79.68M;-5.15%
01.10.2015;52.46;49.12;56.4;47.88;81.30M;10.7%
01.09.2015;47.39;51.08;52.26;45.81;91.96M;-10.45%
01.08.2015;52.92;57.52;59.16;48.77;93.38M;-7.93%
01.07.2015;57.48;57;58.49;53.76;98.53M;0.82%
01.06.2015;57.01;59.18;59.99;56.5;68.64M;-4.54%
01.05.2015;59.72;63.32;64.46;59.36;57.14M;-5.85%
01.04.2015;63.43;60.45;63.97;58.71;83.11M;6.34%
01.03.2015;59.65;64.88;64.94;56.82;84.87M;-8.75%
01.02.2015;65.37;62.57;67.16;62.06;75.30M;6.38%
